	Batch
BLCA_Cx_1	2
BLCA_Cx_2	1
BLCA_Cx_3	1
BLCA_Cx_4	1
BLCA_Cx_5	1
BLCA_Cx_6	1
BLCA_Cx_7	1
BLCA_Cx_8	1
BLCA_Cx_9	1
BLCA_Cx_10	1
BLCA_Cx_11	1
BLCA_Cx_12	1
BLCA_Cx_13	1
BLCA_Cx_14	1
BLCA_Cx_15	1
BLCA_Cx_16	1
BLCA_Cx_17	1
BLCA_Cx_18	1
BLCA_Cx_19	1
BLCA_Cx_20	1
BLCA_Cx_21	1
BLCA_Cx_22	1
BLCA_Cx_23	1
BLCA_Cx_24	1
BLCA_Cx_25	2
BLCA_Cx_26	2
BLCA_Cx_27	2
BLCA_Cx_28	2
BLCA_Cx_29	2
BLCA_Cx_30	2
BLCA_Cx_31	2
BLCA_Cx_32	2
BLCA_Cx_33	2
BLCA_Cx_34	2
BLCA_Cx_35	2
BLCA_Cx_36	2
BLCA_Cx_37	2
BLCA_Cx_38	2
BLCA_Cx_39	2
BLCA_Cx_40	2
BLCA_Cx_41	2
BLCA_Cx_42	2
BLCA_Cx_43	2
BLCA_Cx_44	2
BLCA_Cx_45	2
BLCA_Cx_46	2
BLCA_Cx_47	2
BLCA_Cx_48	3
BLCA_Cx_49	3
BLCA_Cx_50	3
BLCA_Cx_51	3
BLCA_Cx_52	3
BLCA_Cx_53	3
BLCA_Cx_54	3
BLCA_Cx_55	3
BLCA_Cx_56	3
BLCA_Cx_57	3
BLCA_Cx_58	3
BLCA_Cx_59	3
BLCA_Cx_60	3
BLCA_Cx_61	3
BLCA_Cx_62	3
BLCA_Cx_63	3
BLCA_Cx_64	3
BLCA_Cx_65	3
BLCA_Cx_66	3
BLCA_Cx_67	3
BLCA_Cx_68	3
BLCA_Cx_69	3
BLCA_Cx_70	3
BLCA_Cx_71	3
BLCA_Cx_72	4
BLCA_Cx_73	4
BLCA_Cx_74	4
BLCA_Cx_75	4
BLCA_Cx_76	4
BLCA_Cx_77	4
BLCA_Cx_78	4
BLCA_Cx_79	4
BLCA_Cx_80	4
BLCA_Cx_81	4
BLCA_Cx_82	4
BLCA_Cx_83	4
BLCA_Cx_84	4
BLCA_Cx_85	4
BLCA_Cx_86	4
BLCA_Cx_87	4
BLCA_Cx_88	4
BLCA_Cx_89	4
BLCA_Cx_90	4
BLCA_Cx_91	4
BLCA_Cx_92	4
BLCA_Cx_93	4
BLCA_Cx_94	4
BLCA_Cx_95	4
BLCA_Cx_96	5
BLCA_Cx_97	5
BLCA_Cx_98	5
BLCA_Cx_99	5
BLCA_Cx_100	5
BLCA_Cx_101	5
BLCA_Cx_102	5
BLCA_Cx_103	5
BLCA_Cx_104	5
BLCA_Cx_105	5
BLCA_Cx_106	5
BLCA_Cx_107	5
BLCA_Cx_108	5
BLCA_Cx_109	5
BLCA_Cx_110	5
BLCA_Cx_111	5
BLCA_Cx_112	5
BLCA_Cx_113	5
BLCA_Cx_114	5
BLCA_Cx_115	5
BLCA_Cx_116	5
BLCA_Cx_117	5
BLCA_Cx_118	5
BLCA_Cx_119	5
BLCA_Cx_120	6
BLCA_Cx_121	6
BLCA_Cx_122	6
BLCA_Cx_123	6
BLCA_Cx_124	6
BLCA_Cx_125	6
BLCA_Cx_126	6
BLCA_Cx_127	6
BLCA_Cx_128	6
BLCA_Cx_129	6
BLCA_Cx_130	6
BLCA_Cx_131	6
BLCA_Cx_132	6
BLCA_Cx_133	6
BLCA_Cx_134	6
BLCA_Cx_135	6
BLCA_Cx_136	6
BLCA_Cx_137	6
BLCA_Cx_138	6
BLCA_Cx_139	6
BLCA_Cx_140	6
BLCA_Cx_141	6
BLCA_Cx_142	6
BLCA_Cx_143	6
BLCA_Cx_144	7
BLCA_Cx_145	7
BLCA_Cx_146	7
BLCA_Cx_147	7
BLCA_Cx_148	7
BLCA_Cx_149	7
BLCA_Cx_150	7
BLCA_Cx_151	7
BLCA_Cx_152	7
BLCA_Cx_153	7
BLCA_Cx_154	7
BLCA_Cx_155	7
BLCA_Cx_156	7
BLCA_Cx_157	7
BLCA_Cx_158	7
BLCA_Cx_159	7
BLCA_Cx_160	7
BLCA_Cx_161	7
BLCA_Cx_162	7
BLCA_Cx_163	7
BLCA_Cx_164	7
BLCA_Cx_165	7
BLCA_Cx_166	7
BLCA_Cx_167	7
BLCA_Cx_168	8
BLCA_Cx_169	8
BLCA_Cx_170	8
BLCA_Cx_171	8
BLCA_Cx_172	8
BLCA_Cx_173	8
BLCA_Cx_174	8
BLCA_Cx_175	8
BLCA_Cx_176	8
BLCA_Cx_177	8
BLCA_Cx_178	8
BLCA_Cx_179	8
BLCA_Cx_180	8
BLCA_Cx_181	8
BLCA_Cx_182	8
BLCA_Cx_183	8
BLCA_Cx_184	8
BLCA_Cx_185	8
BLCA_Cx_186	8
BLCA_Cx_187	8
BLCA_Cx_188	8
BLCA_Cx_189	8
BLCA_Cx_190	8
BLCA_Cx_191	8
BLCA_Cx_192	9
BLCA_Cx_193	9
BLCA_Cx_194	9
BLCA_Cx_195	9
BLCA_Cx_196	9
BLCA_Cx_197	9
BLCA_Cx_198	9
BLCA_Cx_199	9
BLCA_Cx_200	9
BLCA_Cx_201	9
BLCA_Cx_202	9
BLCA_Cx_203	9
BLCA_Cx_204	9
BLCA_Cx_205	9
BLCA_Cx_206	9
BLCA_Cx_207	9
BLCA_Cx_208	9
BLCA_Cx_209	9
BLCA_Cx_210	9
BLCA_Cx_211	9
BLCA_Cx_212	9
BLCA_Cx_213	9
BLCA_Cx_214	9
BLCA_Cx_215	9
BLCA_Cx_216	10
BLCA_Cx_217	10
BLCA_Cx_218	10
BLCA_Cx_219	10
BLCA_Cx_220	10
BLCA_Cx_221	10
BLCA_Cx_222	10
BLCA_Cx_223	10
BLCA_Cx_224	10
BLCA_Cx_225	10
BLCA_Cx_226	10
BLCA_Cx_227	10
BLCA_Cx_228	10
BLCA_Cx_229	10
BLCA_Cx_230	10
BLCA_Cx_231	10
BLCA_Cx_232	10
BLCA_Cx_233	10
BLCA_Cx_234	10
BLCA_Cx_235	10
BLCA_Cx_236	10
BLCA_Cx_237	10
BLCA_Cx_238	10
BLCA_Cx_239	10
BLCA_Cx_240	11
BLCA_Cx_241	11
BLCA_Cx_242	11
BLCA_Cx_243	11
BLCA_Cx_244	11
BLCA_Cx_245	11
BLCA_Cx_246	11
BLCA_Cx_247	11
BLCA_Cx_248	11
BLCA_Cx_249	11
BLCA_Cx_250	11
BLCA_Cx_251	11
BLCA_Cx_252	11
BLCA_Cx_253	11
BLCA_Cx_254	11
BLCA_Cx_255	11
BLCA_Cx_256	11
BLCA_Cx_257	11
BLCA_Cx_258	11
BLCA_Cx_259	11
BLCA_Cx_260	11
BLCA_Cx_261	11
BLCA_Cx_262	11
BLCA_Cx_263	11
BLCA_Cx_264	12
BLCA_Cx_265	12
BLCA_Cx_266	12
BLCA_Cx_267	12
BLCA_Cx_268	12
BLCA_Cx_269	12
BLCA_Cx_270	12
BLCA_Cx_271	12
BLCA_Cx_272	12
BLCA_Cx_273	12
BLCA_Cx_274	12
BLCA_Cx_275	12
BLCA_Cx_276	12
BLCA_Cx_277	12
BLCA_Cx_278	13
BLCA_Cx_279	13
BLCA_Cx_280	13
BLCA_Cx_281	13
BLCA_Cx_282	13
BLCA_Cx_283	13
BLCA_Cx_284	13
BLCA_Cx_285	13
BLCA_Cx_286	13
BLCA_Cx_287	13
BLCA_Cx_288	13
BLCA_Cx_289	13
BLCA_Cx_290	13
BLCA_Cx_291	13
BLCA_Cx_292	13
BLCA_Cx_293	14
BLCA_Cx_294	14
BLCA_Cx_295	14
BLCA_Cx_296	14
BLCA_Cx_297	14
BLCA_Cx_298	14
BLCA_Cx_299	14
BLCA_Cx_300	14
BLCA_Cx_301	14
BLCA_Cx_302	14
BLCA_Cx_303	14
BLCA_Cx_304	14
BLCA_Cx_305	14
BLCA_Cx_306	14
BLCA_Cx_307	14
